sk_local;bairro;endereco;latitude;longitude
319;NÃO INFORMADO;NÃO INFORMADO;-8.026266;-34.90364
320;NÃO INFORMADO;NÃO INFORMADO;-8.144448;-34.906386
321;NÃO INFORMADO;NÃO INFORMADO;-8.117354;-34.941716
322;NÃO INFORMADO;NÃO INFORMADO;-8.09063;-34.956629
323;NÃO INFORMADO;NÃO INFORMADO;-8.059997;-34.882112
324;NÃO INFORMADO;NÃO INFORMADO;-8.048708;-34.908761
325;NÃO INFORMADO;NÃO INFORMADO;-8.033444;-34.891787
326;NÃO INFORMADO;NÃO INFORMADO;-8.143179;-34.908999
327;NÃO INFORMADO;NÃO INFORMADO;-8.077086;-34.943036
328;NÃO INFORMADO;NÃO INFORMADO;-8.1023;-34.913003
329;NÃO INFORMADO;NÃO INFORMADO;-8.066481;-34.883837
330;NÃO INFORMADO;NÃO INFORMADO;-8.053493;-34.928949
331;NÃO INFORMADO;NÃO INFORMADO;-8.117773;-34.941936
332;NÃO INFORMADO;NÃO INFORMADO;-8.115267;-34.949076
333;NÃO INFORMADO;NÃO INFORMADO;-8.059028;-34.939254
334;NÃO INFORMADO;NÃO INFORMADO;-8.132754;-34.902776
335;NÃO INFORMADO;NÃO INFORMADO;-8.056717;-34.899445
336;NÃO INFORMADO;NÃO INFORMADO;-8.06947;-34.908328
337;NÃO INFORMADO;NÃO INFORMADO;-8.062321;-34.910324
338;NÃO INFORMADO;NÃO INFORMADO;-8.111183;-34.917458
339;NÃO INFORMADO;NÃO INFORMADO;-8.068896;-34.908521
340;NÃO INFORMADO;NÃO INFORMADO;-8.056847;-34.88558
341;NÃO INFORMADO;NÃO INFORMADO;-8.037909;-34.917372
342;NÃO INFORMADO;NÃO INFORMADO;-8.070707;-34.88421
343;NÃO INFORMADO;NÃO INFORMADO;-8.134953;-34.912695
344;NÃO INFORMADO;NÃO INFORMADO;-8.033256;-34.910645
345;NÃO INFORMADO;NÃO INFORMADO;-8.123079;-34.908795
346;NÃO INFORMADO;NÃO INFORMADO;-8.006967;-34.887047
347;NÃO INFORMADO;NÃO INFORMADO;-8.052627;-34.883743
348;NÃO INFORMADO;NÃO INFORMADO;-8.09252;-34.938658
349;NÃO INFORMADO;NÃO INFORMADO;-8.047162;-34.898785
350;NÃO INFORMADO;NÃO INFORMADO;-8.046418;-34.880626
351;NÃO INFORMADO;NÃO INFORMADO;-8.039194;-34.899262
352;NÃO INFORMADO;NÃO INFORMADO;-8.058879;-34.897926
353;NÃO INFORMADO;NÃO INFORMADO;-8.138622;-34.935848
354;NÃO INFORMADO;NÃO INFORMADO;-8.121586;-34.918419
355;NÃO INFORMADO;NÃO INFORMADO;-8.077285;-34.906298
356;NÃO INFORMADO;NÃO INFORMADO;-8.062409;-34.916466
357;NÃO INFORMADO;NÃO INFORMADO;-8.011105;-34.884076
358;NÃO INFORMADO;NÃO INFORMADO;-8.021591;-34.932457
359;NÃO INFORMADO;NÃO INFORMADO;-8.141156;-34.911139
360;NÃO INFORMADO;NÃO INFORMADO;-8.113408;-34.92227
361;NÃO INFORMADO;NÃO INFORMADO;-8.123928;-34.897513
362;NÃO INFORMADO;NÃO INFORMADO;-8.143078;-34.909176
363;NÃO INFORMADO;NÃO INFORMADO;-8.080034;-34.903798
364;NÃO INFORMADO;NÃO INFORMADO;-8.109972;-34.912137
365;NÃO INFORMADO;NÃO INFORMADO;-8.064193;-34.876815
366;NÃO INFORMADO;NÃO INFORMADO;-8.020837;-34.921637
367;NÃO INFORMADO;NÃO INFORMADO;-8.008003;-34.889853
368;NÃO INFORMADO;NÃO INFORMADO;-8.122335;-34.896124
369;NÃO INFORMADO;NÃO INFORMADO;-8.132128;-34.9163
370;NÃO INFORMADO;NÃO INFORMADO;-8.152158;-34.908264
371;NÃO INFORMADO;NÃO INFORMADO;-8.028831;-34.909422
372;NÃO INFORMADO;NÃO INFORMADO;-8.032873;-34.884644
373;NÃO INFORMADO;NÃO INFORMADO;-8.024765;-34.917802
374;NÃO INFORMADO;NÃO INFORMADO;-8.113206;-34.955932
375;NÃO INFORMADO;NÃO INFORMADO;-8.04807;-34.913424
376;NÃO INFORMADO;NÃO INFORMADO;-8.075543;-34.916367
377;NÃO INFORMADO;NÃO INFORMADO;-8.077171;-34.89422
378;NÃO INFORMADO;NÃO INFORMADO;-8.090396;-34.934785
379;NÃO INFORMADO;NÃO INFORMADO;-8.051879;-34.895732
380;NÃO INFORMADO;NÃO INFORMADO;-8.074409;-34.889719
381;NÃO INFORMADO;NÃO INFORMADO;-8.122962;-34.903886
382;NÃO INFORMADO;NÃO INFORMADO;-8.140996;-34.920462
383;NÃO INFORMADO;NÃO INFORMADO;-8.051576;-34.887729
384;NÃO INFORMADO;NÃO INFORMADO;-8.039917;-34.887415
385;NÃO INFORMADO;NÃO INFORMADO;-8.100232;-34.92823
