sk_tipo_acidente;causa_acidente;descricao_detalhada
239;Atropelamento de pedestre;ATROPELAMENTO COM VITIMA- E CAPOTAMENTO- VEICULO SE ENCONTRA DENTRO DO CANAL
240;Colisão entre veículos;AUTO E ONIBUS
241;Colisão entre veículos;CAMINHÃO E AUTO
242;Colisão entre veículos;COLISAO ENTRE DOIS AUTOS COM VITIMA
243;Colisão entre veículos;COLISÃO COM VITIMAS SOCORRIDAS PELOS BOMBEIROS
244;Atropelamento de pedestre;AUTO
245;Colisão entre veículos;01 AO - 01 BICICLETA
246;Colisão entre veículos;AUTO - CICLISTA
247;Colisão entre veículos;MOTO E BICICLETA
248;Atropelamento de pedestre;ATROPELAMENTO DE UM CICLISTA
249;Colisão entre veículos;DOIS AUTOS E CINQUENTINHA
250;Colisão entre veículos;COLISÃO ENTRE UMA MOTOCICLETA E UM ÔNIBUS
251;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTOFCICLETA
252;Colisão entre veículos;COLISÃO COM 1 VITIMA ESPERA DO SAMU
